"participant_id","FCWrong","type","condition","RespondedPercent","truePercent","abs_error","condition_order","trial_order","raw_error"
"P1",NA,"curvatures","Visual",80,35,45,2,3,45
"P1",NA,"curvatures","Visual",40,45,5,2,11,-5
"P1",NA,"curvatures","Visual",80,55,25,2,15,25
"P1",NA,"curvatures","Visual",90,65,25,2,23,25
"P1",1,"curvatures","Visual",99,75,24,2,29,24
"P1",NA,"curvatures","Visual",70,25,45,2,34,45
"P2",NA,"curvatures","Visual",45,35,10,2,3,10
"P2",NA,"curvatures","Visual",60,45,15,2,11,15
"P2",NA,"curvatures","Visual",60,55,5,2,15,5
"P2",NA,"curvatures","Visual",65,65,0,2,23,0
"P2",NA,"curvatures","Visual",75,75,0,2,29,0
"P2",NA,"curvatures","Visual",60,25,35,2,34,35
"P3",NA,"curvatures","Visual",55,35,20,3,3,20
"P3",NA,"curvatures","Visual",60,45,15,3,11,15
"P3",NA,"curvatures","Visual",70,55,15,3,15,15
"P3",NA,"curvatures","Visual",60,65,5,3,23,-5
"P3",NA,"curvatures","Visual",85,75,10,3,29,10
"P3",NA,"curvatures","Visual",45,25,20,3,34,20
"P4",NA,"curvatures","Visual",50,35,15,1,3,15
"P4",NA,"curvatures","Visual",50,45,5,1,11,5
"P4",NA,"curvatures","Visual",60,55,5,1,15,5
"P4",NA,"curvatures","Visual",60,65,5,1,23,-5
"P4",NA,"curvatures","Visual",80,75,5,1,29,5
"P4",NA,"curvatures","Visual",20,25,5,1,34,-5
"P5",NA,"curvatures","Visual",50,35,15,1,3,15
"P5",NA,"curvatures","Visual",50,45,5,1,11,5
"P5",NA,"curvatures","Visual",75,55,20,1,15,20
"P5",NA,"curvatures","Visual",50,65,15,1,23,-15
"P5",NA,"curvatures","Visual",90,75,15,1,29,15
"P5",NA,"curvatures","Visual",20,25,5,1,34,-5
"P6",NA,"curvatures","Visual",55,35,20,3,3,20
"P6",NA,"curvatures","Visual",75,45,30,3,11,30
"P6",NA,"curvatures","Visual",90,55,35,3,15,35
"P6",NA,"curvatures","Visual",60,65,5,3,23,-5
"P6",NA,"curvatures","Visual",90,75,15,3,29,15
"P6",NA,"curvatures","Visual",50,25,25,3,34,25
"P7",NA,"curvatures","Visual",50,35,15,1,3,15
"P7",NA,"curvatures","Visual",50,45,5,1,11,5
"P7",NA,"curvatures","Visual",80,55,25,1,15,25
"P7",NA,"curvatures","Visual",90,65,25,1,23,25
"P7",NA,"curvatures","Visual",90,75,15,1,29,15
"P7",NA,"curvatures","Visual",50,25,25,1,34,25
"P8",NA,"curvatures","Visual",30,35,5,3,3,-5
"P8",NA,"curvatures","Visual",60,45,15,3,11,15
"P8",NA,"curvatures","Visual",80,55,25,3,15,25
"P8",NA,"curvatures","Visual",90,65,25,3,23,25
"P8",NA,"curvatures","Visual",95,75,20,3,29,20
"P8",NA,"curvatures","Visual",10,25,15,3,34,-15
"P9",NA,"curvatures","Visual",50,35,15,2,3,15
"P9",NA,"curvatures","Visual",70,45,25,2,11,25
"P9",NA,"curvatures","Visual",70,55,15,2,15,15
"P9",NA,"curvatures","Visual",75,65,10,2,23,10
"P9",NA,"curvatures","Visual",90,75,15,2,29,15
"P9",NA,"curvatures","Visual",45,25,20,2,34,20
"P10",NA,"curvatures","Visual",60,35,25,1,3,25
"P10",NA,"curvatures","Visual",50,45,5,1,11,5
"P10",NA,"curvatures","Visual",90,55,35,1,15,35
"P10",NA,"curvatures","Visual",80,65,15,1,23,15
"P10",NA,"curvatures","Visual",95,75,20,1,29,20
"P10",NA,"curvatures","Visual",70,25,45,1,34,45
"P11",NA,"curvatures","Visual",50,35,15,3,3,15
"P11",NA,"curvatures","Visual",60,45,15,3,11,15
"P11",NA,"curvatures","Visual",70,55,15,3,15,15
"P11",1,"curvatures","Visual",90,65,25,3,23,25
"P11",NA,"curvatures","Visual",90,75,15,3,29,15
"P11",NA,"curvatures","Visual",33,25,8,3,34,8
"P12",NA,"curvatures","Visual",50,35,15,2,3,15
"P12",1,"curvatures","Visual",75,45,30,2,11,30
"P12",NA,"curvatures","Visual",50,55,5,2,15,-5
"P12",NA,"curvatures","Visual",70,65,5,2,23,5
"P12",NA,"curvatures","Visual",90,75,15,2,29,15
"P12",NA,"curvatures","Visual",33,25,8,2,34,8
"P1",NA,"lengths","Visual",50,45,5,2,6,5
"P1",NA,"lengths","Visual",70,55,15,2,12,15
"P1",NA,"lengths","Visual",70,65,5,2,13,5
"P1",NA,"lengths","Visual",80,75,5,2,21,5
"P1",NA,"lengths","Visual",20,25,5,2,26,-5
"P1",NA,"lengths","Visual",40,35,5,2,33,5
"P2",NA,"lengths","Visual",35,45,10,2,6,-10
"P2",NA,"lengths","Visual",50,55,5,2,12,-5
"P2",NA,"lengths","Visual",55,65,10,2,13,-10
"P2",NA,"lengths","Visual",60,75,15,2,21,-15
"P2",NA,"lengths","Visual",20,25,5,2,26,-5
"P2",NA,"lengths","Visual",30,35,5,2,33,-5
"P3",NA,"lengths","Visual",40,45,5,3,6,-5
"P3",NA,"lengths","Visual",50,55,5,3,12,-5
"P3",NA,"lengths","Visual",75,65,10,3,13,10
"P3",NA,"lengths","Visual",80,75,5,3,21,5
"P3",NA,"lengths","Visual",25,25,0,3,26,0
"P3",NA,"lengths","Visual",35,35,0,3,33,0
"P4",NA,"lengths","Visual",50,45,5,1,6,5
"P4",NA,"lengths","Visual",50,55,5,1,12,-5
"P4",NA,"lengths","Visual",60,65,5,1,13,-5
"P4",NA,"lengths","Visual",70,75,5,1,21,-5
"P4",NA,"lengths","Visual",25,25,0,1,26,0
"P4",NA,"lengths","Visual",30,35,5,1,33,-5
"P5",NA,"lengths","Visual",33,45,12,1,6,-12
