participant_id,FCWrong,type,condition,RespondedPercent,truePercent,abs_error,condition_order,label,trial_order
P1,,curvatures,Visual,80,35,45,2,curvatures_1,3
P1,,curvatures,Visual,40,45,5,2,curvatures_2,11
P1,,curvatures,Visual,80,55,25,2,curvatures_3,15
P1,,curvatures,Visual,90,65,25,2,curvatures_4,23
P1,1.0,curvatures,Visual,99,75,24,2,curvatures_5,29
P1,,curvatures,Visual,70,25,45,2,curvatures_0,34
P2,,curvatures,Visual,45,35,10,2,curvatures_1,3
P2,,curvatures,Visual,60,45,15,2,curvatures_2,11
P2,,curvatures,Visual,60,55,5,2,curvatures_3,15
P2,,curvatures,Visual,65,65,0,2,curvatures_4,23
P2,,curvatures,Visual,75,75,0,2,curvatures_5,29
P2,,curvatures,Visual,60,25,35,2,curvatures_0,34
P3,,curvatures,Visual,55,35,20,3,curvatures_1,3
P3,,curvatures,Visual,60,45,15,3,curvatures_2,11
P3,,curvatures,Visual,70,55,15,3,curvatures_3,15
P3,,curvatures,Visual,60,65,5,3,curvatures_4,23
P3,,curvatures,Visual,85,75,10,3,curvatures_5,29
P3,,curvatures,Visual,45,25,20,3,curvatures_0,34
P4,,curvatures,Visual,50,35,15,1,curvatures_1,3
P4,,curvatures,Visual,50,45,5,1,curvatures_2,11
P4,,curvatures,Visual,60,55,5,1,curvatures_3,15
P4,,curvatures,Visual,60,65,5,1,curvatures_4,23
P4,,curvatures,Visual,80,75,5,1,curvatures_5,29
P4,,curvatures,Visual,20,25,5,1,curvatures_0,34
P5,,curvatures,Visual,50,35,15,1,curvatures_1,3
P5,,curvatures,Visual,50,45,5,1,curvatures_2,11
P5,,curvatures,Visual,75,55,20,1,curvatures_3,15
P5,,curvatures,Visual,50,65,15,1,curvatures_4,23
P5,,curvatures,Visual,90,75,15,1,curvatures_5,29
P5,,curvatures,Visual,20,25,5,1,curvatures_0,34
P6,,curvatures,Visual,55,35,20,3,curvatures_1,3
P6,,curvatures,Visual,75,45,30,3,curvatures_2,11
P6,,curvatures,Visual,90,55,35,3,curvatures_3,15
P6,,curvatures,Visual,60,65,5,3,curvatures_4,23
P6,,curvatures,Visual,90,75,15,3,curvatures_5,29
P6,,curvatures,Visual,50,25,25,3,curvatures_0,34
P7,,curvatures,Visual,50,35,15,1,curvatures_1,3
P7,,curvatures,Visual,50,45,5,1,curvatures_2,11
P7,,curvatures,Visual,80,55,25,1,curvatures_3,15
P7,,curvatures,Visual,90,65,25,1,curvatures_4,23
P7,,curvatures,Visual,90,75,15,1,curvatures_5,29
P7,,curvatures,Visual,50,25,25,1,curvatures_0,34
P8,,curvatures,Visual,30,35,5,3,curvatures_1,3
P8,,curvatures,Visual,60,45,15,3,curvatures_2,11
P8,,curvatures,Visual,80,55,25,3,curvatures_3,15
P8,,curvatures,Visual,90,65,25,3,curvatures_4,23
P8,,curvatures,Visual,95,75,20,3,curvatures_5,29
P8,,curvatures,Visual,10,25,15,3,curvatures_0,34
P9,,curvatures,Visual,50,35,15,2,curvatures_1,3
P9,,curvatures,Visual,70,45,25,2,curvatures_2,11
P9,,curvatures,Visual,70,55,15,2,curvatures_3,15
P9,,curvatures,Visual,75,65,10,2,curvatures_4,23
P9,,curvatures,Visual,90,75,15,2,curvatures_5,29
P9,,curvatures,Visual,45,25,20,2,curvatures_0,34
P10,,curvatures,Visual,60,35,25,1,curvatures_1,3
P10,,curvatures,Visual,50,45,5,1,curvatures_2,11
P10,,curvatures,Visual,90,55,35,1,curvatures_3,15
P10,,curvatures,Visual,80,65,15,1,curvatures_4,23
P10,,curvatures,Visual,95,75,20,1,curvatures_5,29
P10,,curvatures,Visual,70,25,45,1,curvatures_0,34
P11,,curvatures,Visual,50,35,15,3,curvatures_1,3
P11,,curvatures,Visual,60,45,15,3,curvatures_2,11
P11,,curvatures,Visual,70,55,15,3,curvatures_3,15
P11,1.0,curvatures,Visual,90,65,25,3,curvatures_4,23
P11,,curvatures,Visual,90,75,15,3,curvatures_5,29
P11,,curvatures,Visual,33,25,8,3,curvatures_0,34
P12,,curvatures,Visual,50,35,15,2,curvatures_1,3
P12,1.0,curvatures,Visual,75,45,30,2,curvatures_2,11
P12,,curvatures,Visual,50,55,5,2,curvatures_3,15
P12,,curvatures,Visual,70,65,5,2,curvatures_4,23
P12,,curvatures,Visual,90,75,15,2,curvatures_5,29
P12,,curvatures,Visual,33,25,8,2,curvatures_0,34
P1,,lines,Visual,50,45,5,2,lines_2,6
P1,,lines,Visual,70,55,15,2,lines_3,12
P1,,lines,Visual,70,65,5,2,lines_4,13
P1,,lines,Visual,80,75,5,2,lines_5,21
P1,,lines,Visual,20,25,5,2,lines_0,26
P1,,lines,Visual,40,35,5,2,lines_1,33
P2,,lines,Visual,35,45,10,2,lines_2,6
P2,,lines,Visual,50,55,5,2,lines_3,12
P2,,lines,Visual,55,65,10,2,lines_4,13
P2,,lines,Visual,60,75,15,2,lines_5,21
P2,,lines,Visual,20,25,5,2,lines_0,26
P2,,lines,Visual,30,35,5,2,lines_1,33
P3,,lines,Visual,40,45,5,3,lines_2,6
P3,,lines,Visual,50,55,5,3,lines_3,12
P3,,lines,Visual,75,65,10,3,lines_4,13
P3,,lines,Visual,80,75,5,3,lines_5,21
P3,,lines,Visual,25,25,0,3,lines_0,26
P3,,lines,Visual,35,35,0,3,lines_1,33
P4,,lines,Visual,50,45,5,1,lines_2,6
P4,,lines,Visual,50,55,5,1,lines_3,12
P4,,lines,Visual,60,65,5,1,lines_4,13
P4,,lines,Visual,70,75,5,1,lines_5,21
P4,,lines,Visual,25,25,0,1,lines_0,26
P4,,lines,Visual,30,35,5,1,lines_1,33
P5,,lines,Visual,33,45,12,1,lines_2,6
P5,,lines,Visual,50,55,5,1,lines_3,12
P5,,lines,Visual,33,65,32,1,lines_4,13
P5,,lines,Visual,75,75,0,1,lines_5,21
P5,,lines,Visual,20,25,5,1,lines_0,26
P5,,lines,Visual,25,35,10,1,lines_1,33
P6,,lines,Visual,40,45,5,3,lines_2,6
P6,,lines,Visual,60,55,5,3,lines_3,12
P6,,lines,Visual,60,65,5,3,lines_4,13
P6,,lines,Visual,85,75,10,3,lines_5,21
P6,,lines,Visual,20,25,5,3,lines_0,26
P6,,lines,Visual,32,35,3,3,lines_1,33
P7,,lines,Visual,50,45,5,1,lines_2,6
P7,,lines,Visual,50,55,5,1,lines_3,12
P7,,lines,Visual,60,65,5,1,lines_4,13
P7,,lines,Visual,80,75,5,1,lines_5,21
P7,,lines,Visual,20,25,5,1,lines_0,26
P7,,lines,Visual,30,35,5,1,lines_1,33
P8,,lines,Visual,50,45,5,3,lines_2,6
P8,,lines,Visual,65,55,10,3,lines_3,12
P8,,lines,Visual,80,65,15,3,lines_4,13
P8,,lines,Visual,85,75,10,3,lines_5,21
P8,,lines,Visual,10,25,15,3,lines_0,26
P8,,lines,Visual,25,35,10,3,lines_1,33
P9,,lines,Visual,40,45,5,2,lines_2,6
P9,,lines,Visual,55,55,0,2,lines_3,12
P9,,lines,Visual,60,65,5,2,lines_4,13
P9,,lines,Visual,75,75,0,2,lines_5,21
P9,,lines,Visual,18,25,7,2,lines_0,26
P9,,lines,Visual,37,35,2,2,lines_1,33
P10,,lines,Visual,45,45,0,1,lines_2,6
P10,,lines,Visual,80,55,25,1,lines_3,12
P10,,lines,Visual,85,65,20,1,lines_4,13
P10,,lines,Visual,80,75,5,1,lines_5,21
P10,,lines,Visual,20,25,5,1,lines_0,26
P10,,lines,Visual,35,35,0,1,lines_1,33
P11,,lines,Visual,33,45,12,3,lines_2,6
P11,,lines,Visual,45,55,10,3,lines_3,12
P11,,lines,Visual,55,65,10,3,lines_4,13
P11,,lines,Visual,80,75,5,3,lines_5,21
