participant_id,FCWrong,type,truePercent,RespondedPercent,abs_diff,condition_order,label,trial_order
P1,,table,55,43,12,3,table_3,1
P1,,table,45,55,10,3,table_2,2
P1,,table,25,26,1,3,table_0,3
P1,,table,65,39,26,3,table_4,4
P1,,table,75,75,0,3,table_5,5
P1,,table,35,40,5,3,table_1,6
P2,,table,55,54,1,1,table_3,1
P2,,table,45,40,5,1,table_2,2
P2,,table,25,25,0,1,table_0,3
P2,,table,65,60,5,1,table_4,4
P2,,table,75,75,0,1,table_5,5
P2,,table,35,30,5,1,table_1,6
P3,,table,55,55,0,2,table_3,1
P3,,table,45,45,0,2,table_2,2
P3,,table,25,25,0,2,table_0,3
P3,,table,65,65,0,2,table_4,4
P3,,table,75,75,0,2,table_5,5
P3,,table,35,35,0,2,table_1,6
P4,,table,55,45,10,3,table_3,1
P4,,table,45,40,5,3,table_2,2
P4,,table,25,18,7,3,table_0,3
P4,,table,65,65,0,3,table_4,4
P4,,table,75,75,0,3,table_5,5
P4,,table,35,37,2,3,table_1,6
P5,,table,55,50,5,2,table_3,1
P5,,table,45,22,23,2,table_2,2
P5,,table,25,40,15,2,table_0,3
P5,,table,65,50,15,2,table_4,4
P5,,table,75,15,60,2,table_5,5
P5,,table,35,21,14,2,table_1,6
P6,,table,55,54,1,1,table_3,1
P6,,table,45,46,1,1,table_2,2
P6,,table,25,25,0,1,table_0,3
P6,,table,65,70,5,1,table_4,4
P6,,table,75,75,0,1,table_5,5
P6,,table,35,40,5,1,table_1,6
P7,,table,55,45,10,3,table_3,1
P7,,table,45,45,0,3,table_2,2
P7,,table,25,20,5,3,table_0,3
P7,,table,65,70,5,3,table_4,4
P7,,table,75,75,0,3,table_5,5
P7,,table,35,40,5,3,table_1,6
P8,,table,55,60,5,2,table_3,1
P8,,table,45,45,0,2,table_2,2
P8,,table,25,25,0,2,table_0,3
P8,,table,65,70,5,2,table_4,4
P8,,table,75,75,0,2,table_5,5
P8,,table,35,30,5,2,table_1,6
P9,,table,55,55,0,1,table_3,1
P9,,table,45,40,5,1,table_2,2
P9,,table,25,25,0,1,table_0,3
P9,,table,65,55,10,1,table_4,4
P9,,table,75,75,0,1,table_5,5
P9,,table,35,40,5,1,table_1,6
P10,,table,55,44,11,2,table_3,1
P10,,table,45,42,3,2,table_2,2
P10,,table,25,19,6,2,table_0,3
P10,,table,65,43,22,2,table_4,4
P10,,table,75,28,47,2,table_5,5
P10,,table,35,33,2,2,table_1,6
P11,,table,55,50,5,1,table_3,1
P11,,table,45,48,3,1,table_2,2
P11,,table,25,30,5,1,table_0,3
P11,,table,65,55,10,1,table_4,4
P11,,table,75,75,0,1,table_5,5
P11,,table,35,33,2,1,table_1,6
P12,,table,55,42,13,3,table_3,1
P12,,table,45,43,2,3,table_2,2
P12,,table,25,27,2,3,table_0,3
P12,,table,65,65,0,3,table_4,4
P12,,table,75,77,2,3,table_5,5
P12,,table,35,31,4,3,table_1,6
