participant_id,1=leastaccuracy 7=highestaccuracy - Tactile,1=extremelyeasy 10=extremelydemanding - Tactile,1=extremelyrelaxed 10=extremelystressed - Tactile,1=leastaccuracy 7=highestaccuracy - Visual,1=extremelyeasy 10=extremelydemanding - Visual,1=extremelyrelaxed 10=extremelystressed - Visual,1=leastaccuracy 7=highestaccuracy - Tabular,1=extremelyeasy 10=extremelydemanding - Tabular,1=extremelyrelaxed 10=extremelystressed - Tabular
P1,4,2,3,6,2,1,5,6,3
P2,4,5,2,2,9,2,5,5,6
P3,2,4,3,4,5,5,5,7,7
P4,3,8,5,5,6,3,6,4,2
P5,4,6,2,4,5,3,2,7,7
P6,3,6,4,4,6,5,4,6,6
P7,4,10,9,5,8,7,5,7,6
P8,3,6,3,6,4,4,5,6,7
P9,4,5,5,5,5,5,5,3,2
P10,3,8,4,4,5,3,2,3,5
P11,2,10,4,4,9,4,6,3,1
P12,3,8,8,5,2,3,6,8,8
